,Region,Gender,Family,Political,confidence_level,Religon,Nationity,Color,year,AgeGroup,Age,GP_Sources,GP_Sources_Level
2098,East_Midlands,Female,Widowed,Liberal_Democrat,For,No_religion,English,BLACK: of other origin,2018,Above65,78,20.295,0
2099,South_East,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,Above65,67,20.383,0
2100,North_West,Female,Widowed,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,85,26.534,1
2101,Yorkshire_and_The_Humber,Female,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,46-65,60,23.363,1
2102,East_of_England,Female,Living_as_married,None,For,Roman_Catholic,Other,BLACK: of other origin,2018,26-45,39,17.699,0
2103,North_West,Male,Separated_after_marrying,Conservative,Against,Church_of_England,English,BLACK: of other origin,2018,Above65,80,26.534,1
2104,Yorkshire_and_The_Humber,Male,Married,Conservative,For,No_religion,Scottish,BLACK: of other origin,2018,46-65,47,23.363,1
2105,South_East,Male,Not_married,Liberal_Democrat,For,No_religion,English,BLACK: of other origin,2018,26-45,32,20.383,0
2106,North_East,Male,Not_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,46-65,49,27.062,1
2107,North_West,Female,Not_married,Conservative,Neither,No_religion,British,BLACK: of other origin,2018,46-65,61,26.534,1
2108,North_East,Female,Living_as_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,46-65,49,27.062,1
2109,Yorkshire_and_The_Humber,Female,Not_married,Labour,Against,Other_Christian,British,BLACK: of other origin,2018,18-25,22,23.363,1
2110,West_Midlands,Male,Living_as_married,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,26-45,36,22.106,0
2111,London,Female,Married,None,Against,No_religion,English,BLACK: of other origin,2018,26-45,39,22.149,0
2112,South_West,Female,Not_married,Labour,Neither,No_religion,None,BLACK: of other origin,2018,18-25,24,17.373,0
2113,North_West,Male,Not_married,Conservative,Against,No_religion,English,BLACK: of other origin,2018,26-45,33,26.534,1
2114,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Labour,Against,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,41,23.363,1
2117,Wales,Male,Married,Labour,For,Church_of_England,Welsh,BLACK: of other origin,2018,Above65,70,25.188,1
2119,South_West,Female,Not_married,Labour,Against,No_religion,European,BLACK: of other origin,2018,18-25,19,17.373,0
2120,South_West,Male,Married,Conservative,Neither,Church_of_England,English,BLACK: of other origin,2018,Above65,80,17.373,0
2121,North_West,Female,Living_as_married,Conservative,Against,No_religion,European,BLACK: of other origin,2018,18-25,25,26.534,1
2122,East_Midlands,Female,Married,Labour,Against,Non_Christian,English,BLACK: of other origin,2018,26-45,39,20.295,0
2123,South_East,Male,Separated_after_marrying,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,34,20.383,0
2124,East_of_England,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,Above65,75,17.699,0
2125,East_Midlands,Female,Married,None,Against,No_religion,English,BLACK: of other origin,2018,Above65,70,20.295,0
2127,East_Midlands,Male,Not_married,Conservative,Against,No_religion,English,BLACK: of other origin,2018,46-65,65,20.295,0
2128,North_West,Male,Married,Labour,Against,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,35,26.534,1
2129,East_Midlands,Female,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,Above65,74,20.295,0
2131,North_West,Male,Not_married,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,41,26.534,1
2133,Scotland,Female,Not_married,Labour,For,No_religion,Scottish,BLACK: of other origin,2018,18-25,22,25.729,1
2135,East_Midlands,Male,Not_married,Other_Small_Parties,For,Other_Christian,British,BLACK: of other origin,2018,46-65,64,20.295,0
2136,South_East,Male,Not_married,Liberal_Democrat,Against,Non_Christian,English,BLACK: of Caribbean origin,2018,46-65,55,20.383,0
2137,Scotland,Male,Married,Regional_Parties,For,No_religion,European,BLACK: of other origin,2018,Above65,68,25.729,1
2139,East_Midlands,Female,Married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,32,20.295,0
2140,London,Male,Married,Labour,Against,Non_Christian,British,BLACK: of Caribbean origin,2018,46-65,46,22.149,0
2141,South_West,Female,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,65,17.373,0
2144,London,Female,Not_married,Labour,Neither,Non_Christian,Other,ASIAN: of Indian origin,2018,26-45,26,22.149,0
2147,Yorkshire_and_The_Humber,Female,Married,Labour,Against,Other_Christian,British,BLACK: of other origin,2018,26-45,33,23.363,1
2149,West_Midlands,Male,Not_married,Regional_Parties,Against,No_religion,English,BLACK: of other origin,2018,Above65,66,22.106,0
2150,East_Midlands,Female,Separated_after_marrying,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,46,20.295,0
2152,North_West,Female,Separated_after_marrying,Labour,Against,Other_Christian,British,BLACK: of other origin,2018,46-65,56,26.534,1
2153,Wales,Male,Married,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,Above65,70,25.188,1
2154,South_East,Female,Married,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,26-45,31,20.383,0
2155,Yorkshire_and_The_Humber,Male,Living_as_married,Labour,Against,No_religion,English,BLACK: of other origin,2018,26-45,26,23.363,1
2157,Scotland,Female,Widowed,Liberal_Democrat,Neither,Roman_Catholic,Scottish,BLACK: of other origin,2018,Above65,81,25.729,1
2159,South_West,Female,Married,Labour,For,Roman_Catholic,Other,BLACK: of Caribbean origin,2018,26-45,32,17.373,0
2160,East_of_England,Female,Married,None,For,No_religion,British,BLACK: of other origin,2018,26-45,41,17.699,0
2161,West_Midlands,Male,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,18-25,20,22.106,0
2163,London,Female,Separated_after_marrying,Liberal_Democrat,Against,Other_Christian,British,BLACK: of other origin,2018,Above65,66,22.149,0
2165,London,Male,Not_married,Liberal_Democrat,Neither,No_religion,Other,ASIAN: of Indian origin,2018,26-45,28,22.149,0
2167,East_Midlands,Male,Married,Conservative,For,Roman_Catholic,British,BLACK: of other origin,2018,46-65,52,20.295,0
2168,London,Male,Married,None,For,No_religion,None,BLACK: of Caribbean origin,2018,26-45,31,22.149,0
2169,South_West,Male,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,26-45,38,17.373,0
2171,Scotland,Female,Living_as_married,None,Against,No_religion,European,BLACK: of other origin,2018,46-65,62,25.729,1
2172,West_Midlands,Female,Separated_after_marrying,None,For,No_religion,British,BLACK: of other origin,2018,46-65,55,22.106,0
2173,East_Midlands,Male,Living_as_married,Conservative,Neither,Roman_Catholic,English,BLACK: of other origin,2018,46-65,55,20.295,0
2175,South_West,Female,Not_married,Liberal_Democrat,For,No_religion,English,BLACK: of other origin,2018,Above65,76,17.373,0
2176,Wales,Female,Married,Labour,Against,Roman_Catholic,British,BLACK: of Caribbean origin,2018,26-45,42,25.188,1
2177,Yorkshire_and_The_Humber,Female,Not_married,Labour,For,No_religion,English,BLACK: of other origin,2018,18-25,25,23.363,1
2179,East_Midlands,Female,Married,None,For,Non_Christian,Other,BLACK: of Caribbean origin,2018,26-45,37,20.295,0
2180,Scotland,Female,Married,Regional_Parties,For,Other_Christian,Other,BLACK: of other origin,2018,18-25,24,25.729,1
2181,South_West,Male,Married,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,61,17.373,0
2182,South_East,Female,Not_married,None,For,No_religion,British,BLACK: of other origin,2018,46-65,64,20.383,0
2183,East_of_England,Female,Separated_after_marrying,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,70,17.699,0
2185,East_of_England,Female,Not_married,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,36,17.699,0
2188,East_Midlands,Male,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,49,20.295,0
2189,London,Female,Not_married,Labour,For,No_religion,English,BLACK: of other origin,2018,Above65,69,22.149,0
2191,North_West,Male,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,Above65,68,26.534,1
2192,South_East,Male,Married,None,For,Church_of_England,English,BLACK: of other origin,2018,Above65,78,20.383,0
2193,East_Midlands,Male,Married,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,Above65,80,20.295,0
2194,South_West,Male,Living_as_married,Liberal_Democrat,Against,No_religion,European,BLACK: of other origin,2018,46-65,53,17.373,0
2196,South_East,Male,Living_as_married,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,26-45,42,20.383,0
2198,Yorkshire_and_The_Humber,Male,Married,Liberal_Democrat,For,No_religion,English,BLACK: of other origin,2018,26-45,39,23.363,1
2200,North_West,Female,Married,Labour,For,No_religion,European,BLACK: of other origin,2018,Above65,68,26.534,1
2202,East_Midlands,Female,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,18-25,24,20.295,0
2203,East_of_England,Male,Married,None,For,Roman_Catholic,British,BLACK: of other origin,2018,46-65,52,17.699,0
2204,South_West,Female,Married,Other_Small_Parties,Against,No_religion,English,BLACK: of other origin,2018,46-65,46,17.373,0
2205,South_East,Female,Not_married,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,36,20.383,0
2207,West_Midlands,Male,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,26-45,37,22.106,0
2208,London,Male,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,27,22.149,0
2209,East_of_England,Male,Married,Conservative,Neither,Other_Christian,British,BLACK: of other origin,2018,46-65,51,17.699,0
2211,North_West,Male,Married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,46-65,64,26.534,1
2213,London,Female,Married,Labour,For,No_religion,British,BLACK: of other origin,2018,46-65,54,22.149,0
2214,East_Midlands,Male,Not_married,None,For,No_religion,English,BLACK: of other origin,2018,46-65,50,20.295,0
2216,London,Male,Not_married,Other_Small_Parties,Against,No_religion,British,BLACK: of Caribbean origin,2018,26-45,28,22.149,0
2218,Scotland,Female,Not_married,None,For,Roman_Catholic,Other,BLACK: of other origin,2018,26-45,28,25.729,1
2219,South_West,Male,Not_married,Conservative,Neither,No_religion,English,BLACK: of other origin,2018,18-25,19,17.373,0
2221,South_East,Female,Widowed,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,Above65,76,20.383,0
2222,North_West,Female,Not_married,None,For,No_religion,European,ASIAN: of Indian origin,2018,18-25,19,26.534,1
2223,North_West,Male,Separated_after_marrying,Labour,Neither,No_religion,British,BLACK: of other origin,2018,26-45,40,26.534,1
2225,Wales,Female,Separated_after_marrying,None,For,No_religion,Welsh,BLACK: of other origin,2018,26-45,42,25.188,1
2226,South_West,Male,Separated_after_marrying,None,Against,Other_Christian,English,BLACK: of other origin,2018,46-65,54,17.373,0
2227,West_Midlands,Female,Widowed,Conservative,For,Church_of_England,British,BLACK: of other origin,2018,Above65,80,22.106,0
2228,Scotland,Female,Not_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,18-25,22,25.729,1
2229,West_Midlands,Male,Separated_after_marrying,Labour,For,Roman_Catholic,British,BLACK: of other origin,2018,Above65,75,22.106,0
2230,Wales,Female,Married,Labour,For,No_religion,Welsh,BLACK: of other origin,2018,26-45,35,25.188,1
2231,West_Midlands,Female,Not_married,Labour,Neither,Other_Christian,British,BLACK: of other origin,2018,26-45,34,22.106,0
2232,Scotland,Male,Married,Regional_Parties,For,Other_Christian,Scottish,BLACK: of other origin,2018,46-65,61,25.729,1
2233,East_Midlands,Male,Separated_after_marrying,Labour,Neither,Other_Christian,English,BLACK: of other origin,2018,Above65,72,20.295,0
2234,South_East,Male,Widowed,Liberal_Democrat,For,Other_Christian,British,BLACK: of other origin,2018,Above65,84,20.383,0
2235,East_of_England,Male,Married,Conservative,Neither,No_religion,English,BLACK: of other origin,2018,46-65,63,17.699,0
2236,North_West,Male,Married,Liberal_Democrat,Against,No_religion,British,BLACK: of other origin,2018,26-45,30,26.534,1
2237,North_West,Female,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,46-65,53,26.534,1
2238,West_Midlands,Male,Separated_after_marrying,Labour,For,No_religion,British,BLACK: of other origin,2018,46-65,49,22.106,0
2239,South_East,Female,Married,Liberal_Democrat,Against,Church_of_England,European,BLACK: of other origin,2018,46-65,60,20.383,0
2240,South_East,Male,Living_as_married,None,For,No_religion,English,BLACK: of other origin,2018,26-45,31,20.383,0
2242,South_East,Male,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,26-45,39,20.383,0
2244,South_East,Female,Separated_after_marrying,Labour,For,No_religion,British,BLACK: of other origin,2018,Above65,67,20.383,0
2245,North_West,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,Above65,80,26.534,1
2247,East_of_England,Female,Married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,40,17.699,0
2248,South_West,Female,Living_as_married,Regional_Parties,Against,No_religion,British,BLACK: of other origin,2018,26-45,40,17.373,0
2249,London,Male,Not_married,None,Neither,Other_Christian,Other,BLACK: of Caribbean origin,2018,18-25,18,22.149,0
2250,North_West,Male,Not_married,Labour,Neither,No_religion,English,BLACK: of other origin,2018,18-25,25,26.534,1
2251,North_West,Male,Married,Liberal_Democrat,For,No_religion,British,BLACK: of other origin,2018,Above65,90,26.534,1
2254,South_West,Female,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,46-65,56,17.373,0
2255,Scotland,Male,Married,Conservative,Neither,Church_of_England,British,BLACK: of other origin,2018,46-65,59,25.729,1
2256,South_East,Female,Married,Conservative,Against,Church_of_England,English,BLACK: of other origin,2018,46-65,63,20.383,0
2257,London,Male,Married,Labour,Against,No_religion,British,BLACK: of other origin,2018,Above65,68,22.149,0
2258,Scotland,Female,Married,Regional_Parties,For,Other_Christian,Scottish,BLACK: of other origin,2018,46-65,61,25.729,1
2261,West_Midlands,Male,Married,Other_Small_Parties,For,Roman_Catholic,English,BLACK: of other origin,2018,Above65,67,22.106,0
2262,South_East,Male,Not_married,None,For,No_religion,English,BLACK: of other origin,2018,46-65,50,20.383,0
2263,West_Midlands,Male,Married,Labour,Against,Roman_Catholic,Other,BLACK: of Caribbean origin,2018,26-45,41,22.106,0
2266,North_West,Male,Married,Conservative,For,Other_Christian,Scottish,BLACK: of other origin,2018,Above65,67,26.534,1
2268,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Labour,Against,Non_Christian,English,BLACK: of other origin,2018,46-65,49,23.363,1
2269,North_West,Female,Not_married,None,For,Roman_Catholic,British,BLACK: of other origin,2018,46-65,55,26.534,1
2271,Scotland,Male,Widowed,Regional_Parties,For,No_religion,Scottish,BLACK: of other origin,2018,46-65,51,25.729,1
2272,Wales,Male,Separated_after_marrying,Other_Small_Parties,Against,No_religion,Welsh,BLACK: of other origin,2018,46-65,52,25.188,1
2273,London,Female,Separated_after_marrying,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,26-45,38,22.149,0
2274,Wales,Female,Married,Labour,For,No_religion,Welsh,BLACK: of other origin,2018,46-65,48,25.188,1
2275,South_East,Female,Widowed,Conservative,Neither,Non_Christian,British,BLACK: of other origin,2018,46-65,65,20.383,0
2276,South_East,Male,Widowed,Conservative,For,No_religion,British,BLACK: of other origin,2018,Above65,83,20.383,0
2277,Yorkshire_and_The_Humber,Female,Married,Labour,Neither,Roman_Catholic,English,BLACK: of other origin,2018,46-65,62,23.363,1
2278,North_West,Female,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,31,26.534,1
2279,South_East,Female,Married,Labour,For,Other_Christian,European,BLACK: of other origin,2018,46-65,61,20.383,0
2280,London,Male,Widowed,None,Neither,Other_Christian,European,BLACK: of other origin,2018,Above65,89,22.149,0
2282,South_East,Male,Living_as_married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,Above65,90,20.383,0
2283,South_East,Male,Married,None,For,No_religion,English,BLACK: of other origin,2018,46-65,64,20.383,0
2284,East_of_England,Female,Married,Conservative,Neither,Church_of_England,British,BLACK: of other origin,2018,46-65,65,17.699,0
2288,Scotland,Male,Married,Regional_Parties,Against,No_religion,European,ASIAN: of Pakistani origin,2018,46-65,53,25.729,1
2289,Wales,Female,Married,Labour,For,No_religion,Welsh,BLACK: of other origin,2018,26-45,30,25.188,1
2290,West_Midlands,Female,Married,Other_Small_Parties,For,Roman_Catholic,British,BLACK: of other origin,2018,46-65,52,22.106,0
2291,West_Midlands,Male,Separated_after_marrying,Other_Small_Parties,Against,No_religion,English,BLACK: of other origin,2018,Above65,76,22.106,0
2293,North_West,Female,Not_married,Labour,Neither,No_religion,European,BLACK: of African origin,2018,18-25,25,26.534,1
2294,West_Midlands,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,Above65,82,22.106,0
2295,West_Midlands,Male,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,32,22.106,0
2296,North_West,Female,Married,Labour,Neither,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,29,26.534,1
2297,West_Midlands,Female,Married,Labour,For,No_religion,English,BLACK: of other origin,2018,46-65,55,22.106,0
2298,South_East,Female,Married,Conservative,For,No_religion,British,BLACK: of other origin,2018,46-65,50,20.383,0
2299,West_Midlands,Female,Married,None,For,No_religion,English,BLACK: of other origin,2018,26-45,35,22.106,0
2300,South_East,Male,Widowed,Other_Small_Parties,For,Other_Christian,English,BLACK: of other origin,2018,Above65,80,20.383,0
2301,Scotland,Male,Married,Regional_Parties,For,No_religion,Scottish,BLACK: of other origin,2018,Above65,69,25.729,1
2302,North_West,Female,Married,Other_Small_Parties,For,Church_of_England,English,BLACK: of other origin,2018,46-65,65,26.534,1
2303,East_of_England,Male,Separated_after_marrying,Other_Small_Parties,Neither,No_religion,British,BLACK: of other origin,2018,46-65,57,17.699,0
2304,West_Midlands,Male,Not_married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,26-45,39,22.106,0
2305,Yorkshire_and_The_Humber,Male,Living_as_married,Labour,Against,No_religion,British,BLACK: of African origin,2018,18-25,22,23.363,1
2307,South_East,Female,Widowed,Labour,Neither,Other_Christian,Other,BLACK: of other origin,2018,Above65,90,20.383,0
2308,London,Male,Married,Labour,For,No_religion,English,BLACK: of other origin,2018,Above65,75,22.149,0
2309,London,Male,Married,Liberal_Democrat,Against,No_religion,European,BLACK: of other origin,2018,26-45,29,22.149,0
2313,South_West,Male,Married,Conservative,Against,Roman_Catholic,British,BLACK: of other origin,2018,Above65,68,17.373,0
2315,East_of_England,Male,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,Above65,76,17.699,0
2316,Yorkshire_and_The_Humber,Male,Widowed,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,Above65,87,23.363,1
2317,Yorkshire_and_The_Humber,Female,Married,Other_Small_Parties,For,No_religion,Scottish,BLACK: of other origin,2018,46-65,51,23.363,1
2320,Wales,Male,Married,Conservative,Neither,No_religion,Welsh,BLACK: of other origin,2018,Above65,74,25.188,1
2321,East_of_England,Female,Married,Liberal_Democrat,For,Other_Christian,British,BLACK: of other origin,2018,Above65,82,17.699,0
2322,South_West,Female,Widowed,Conservative,For,Roman_Catholic,English,BLACK: of other origin,2018,Above65,85,17.373,0
2323,South_West,Female,Married,Liberal_Democrat,For,No_religion,British,BLACK: of other origin,2018,26-45,36,17.373,0
2325,West_Midlands,Female,Living_as_married,None,Against,Other_Christian,English,BLACK: of other origin,2018,46-65,49,22.106,0
2327,West_Midlands,Female,Separated_after_marrying,Conservative,For,Roman_Catholic,English,BLACK: of other origin,2018,Above65,90,22.106,0
2329,Scotland,Female,Married,Regional_Parties,Neither,No_religion,Scottish,BLACK: of other origin,2018,Above65,73,25.729,1
2330,South_West,Female,Living_as_married,Conservative,For,No_religion,British,BLACK: of other origin,2018,26-45,29,17.373,0
2331,East_Midlands,Male,Married,Liberal_Democrat,For,Roman_Catholic,British,BLACK: of other origin,2018,46-65,46,20.295,0
2334,South_East,Female,Separated_after_marrying,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,58,20.383,0
2335,Yorkshire_and_The_Humber,Male,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,Above65,80,23.363,1
2336,Yorkshire_and_The_Humber,Female,Married,Conservative,Neither,No_religion,European,BLACK: of other origin,2018,46-65,50,23.363,1
2337,Wales,Female,Widowed,Labour,For,Church_of_England,Welsh,BLACK: of other origin,2018,Above65,84,25.188,1
2338,Yorkshire_and_The_Humber,Male,Not_married,Conservative,For,Other_Christian,English,BLACK: of other origin,2018,46-65,47,23.363,1
2339,East_Midlands,Male,Widowed,Labour,For,Church_of_England,English,BLACK: of other origin,2018,Above65,74,20.295,0
2340,Yorkshire_and_The_Humber,Female,Married,Labour,Neither,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,32,23.363,1
2341,East_of_England,Female,Married,Labour,Neither,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,42,17.699,0
2343,Scotland,Male,Married,Labour,For,No_religion,Scottish,BLACK: of other origin,2018,46-65,64,25.729,1
2344,Scotland,Female,Widowed,Conservative,Neither,No_religion,Scottish,BLACK: of other origin,2018,Above65,75,25.729,1
2345,London,Male,Not_married,Liberal_Democrat,For,No_religion,Welsh,BLACK: of other origin,2018,26-45,26,22.149,0
2346,West_Midlands,Female,Living_as_married,Labour,For,No_religion,English,BLACK: of other origin,2018,26-45,43,22.106,0
2348,East_of_England,Male,Married,Liberal_Democrat,Against,No_religion,European,BLACK: of other origin,2018,26-45,31,17.699,0
2350,North_East,Female,Married,Labour,Against,Roman_Catholic,English,BLACK: of other origin,2018,Above65,66,27.062,1
2351,North_West,Female,Living_as_married,Conservative,Against,Church_of_England,British,BLACK: of other origin,2018,Above65,76,26.534,1
2352,West_Midlands,Female,Separated_after_marrying,Liberal_Democrat,Neither,Other_Christian,European,BLACK: of other origin,2018,46-65,53,22.106,0
2353,Scotland,Male,Living_as_married,Conservative,Neither,No_religion,Scottish,BLACK: of other origin,2018,26-45,40,25.729,1
2354,South_East,Male,Not_married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,18-25,22,20.383,0
2355,South_East,Male,Not_married,Conservative,For,No_religion,British,BLACK: of other origin,2018,26-45,26,20.383,0
2356,Wales,Female,Widowed,Conservative,For,Other_Christian,Welsh,BLACK: of other origin,2018,Above65,75,25.188,1
2357,North_West,Male,Married,None,Against,No_religion,British,BLACK: of other origin,2018,46-65,63,26.534,1
2358,Scotland,Male,Not_married,Labour,Against,No_religion,British,BLACK: of other origin,2018,46-65,58,25.729,1
2359,North_West,Female,Separated_after_marrying,Labour,Neither,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,45,26.534,1
2360,East_of_England,Female,Married,Labour,Against,Other_Christian,European,BLACK: of other origin,2018,46-65,64,17.699,0
2361,Scotland,Male,Separated_after_marrying,Regional_Parties,For,No_religion,British,BLACK: of other origin,2018,46-65,52,25.729,1
2362,East_of_England,Male,Not_married,None,For,No_religion,British,BLACK: of other origin,2018,26-45,39,17.699,0
2363,South_West,Female,Living_as_married,Labour,Against,No_religion,English,BLACK: of other origin,2018,46-65,50,17.373,0
2365,West_Midlands,Male,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,46-65,56,22.106,0
2366,South_East,Female,Married,Conservative,Against,No_religion,British,BLACK: of other origin,2018,46-65,60,20.383,0
2367,London,Male,Not_married,Labour,For,Non_Christian,British,BLACK: of Caribbean origin,2018,Above65,85,22.149,0
2368,South_West,Female,Married,Liberal_Democrat,For,No_religion,English,BLACK: of other origin,2018,46-65,51,17.373,0
2369,South_East,Male,Married,Labour,For,Non_Christian,British,BLACK: of Caribbean origin,2018,26-45,44,20.383,0
2370,East_of_England,Female,Not_married,Regional_Parties,For,No_religion,English,BLACK: of other origin,2018,26-45,27,17.699,0
2371,Wales,Female,Married,Liberal_Democrat,For,No_religion,British,BLACK: of other origin,2018,26-45,35,25.188,1
2372,South_West,Male,Not_married,Labour,Neither,Roman_Catholic,British,BLACK: of other origin,2018,18-25,20,17.373,0
2373,Yorkshire_and_The_Humber,Male,Not_married,None,For,No_religion,English,BLACK: of other origin,2018,18-25,25,23.363,1
2374,East_Midlands,Male,Living_as_married,Conservative,Against,Church_of_England,English,BLACK: of other origin,2018,46-65,64,20.295,0
2376,Wales,Male,Married,Labour,Against,Other_Christian,British,BLACK: of other origin,2018,26-45,37,25.188,1
2378,Yorkshire_and_The_Humber,Female,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,46-65,60,23.363,1
2379,West_Midlands,Male,Married,Labour,For,Roman_Catholic,Other,BLACK: of other origin,2018,Above65,80,22.106,0
2380,Wales,Male,Married,None,For,Other_Christian,British,BLACK: of other origin,2018,26-45,34,25.188,1
2381,South_East,Male,Married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,46-65,65,20.383,0
2382,Yorkshire_and_The_Humber,Male,Living_as_married,None,Against,No_religion,English,BLACK: of other origin,2018,26-45,34,23.363,1
2384,East_of_England,Female,Widowed,Other_Small_Parties,For,Non_Christian,Other,BLACK: of Caribbean origin,2018,Above65,81,17.699,0
2386,London,Female,Not_married,Regional_Parties,Against,No_religion,British,BLACK: of other origin,2018,26-45,26,22.149,0
2388,East_of_England,Female,Separated_after_marrying,None,Against,No_religion,English,BLACK: of other origin,2018,Above65,71,17.699,0
2389,North_East,Male,Married,Regional_Parties,Against,No_religion,English,BLACK: of other origin,2018,Above65,74,27.062,1
2390,West_Midlands,Female,Married,Labour,Against,Church_of_England,English,BLACK: of other origin,2018,46-65,65,22.106,0
2391,East_Midlands,Female,Married,Liberal_Democrat,For,Roman_Catholic,English,BLACK: of other origin,2018,Above65,73,20.295,0
2393,Yorkshire_and_The_Humber,Male,Married,Labour,For,Roman_Catholic,British,BLACK: of other origin,2018,Above65,72,23.363,1
2394,East_Midlands,Female,Married,Conservative,For,No_religion,English,BLACK: of other origin,2018,26-45,26,20.295,0
2395,South_West,Female,Married,Conservative,Neither,No_religion,British,BLACK: of other origin,2018,46-65,46,17.373,0
2396,East_of_England,Female,Widowed,Other_Small_Parties,Against,Non_Christian,English,BLACK: of other origin,2018,Above65,73,17.699,0
2397,East_Midlands,Female,Married,Conservative,Neither,Church_of_England,British,BLACK: of other origin,2018,46-65,64,20.295,0
2398,East_of_England,Male,Married,None,For,No_religion,British,BLACK: of other origin,2018,Above65,86,17.699,0
2399,South_East,Female,Married,Liberal_Democrat,Against,No_religion,Other,BLACK: of Caribbean origin,2018,26-45,39,20.383,0
2400,Yorkshire_and_The_Humber,Male,Widowed,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,Above65,89,23.363,1
2401,Wales,Female,Separated_after_marrying,None,For,No_religion,British,BLACK: of other origin,2018,46-65,49,25.188,1
2402,North_West,Female,Separated_after_marrying,Labour,Against,Church_of_England,English,BLACK: of other origin,2018,Above65,66,26.534,1
2405,Yorkshire_and_The_Humber,Female,Not_married,Labour,For,No_religion,British,BLACK: of other origin,2018,18-25,20,23.363,1
2406,North_West,Male,Married,Other_Small_Parties,Against,No_religion,English,BLACK: of other origin,2018,46-65,58,26.534,1
2409,West_Midlands,Male,Not_married,Conservative,For,Church_of_England,English,BLACK: of other origin,2018,46-65,63,22.106,0
2410,West_Midlands,Male,Married,None,For,No_religion,British,BLACK: of other origin,2018,46-65,64,22.106,0
2411,Yorkshire_and_The_Humber,Male,Not_married,None,For,No_religion,English,BLACK: of other origin,2018,26-45,38,23.363,1
2412,South_East,Female,Widowed,Other_Small_Parties,Neither,No_religion,British,BLACK: of other origin,2018,Above65,67,20.383,0
2415,Yorkshire_and_The_Humber,Male,Married,None,For,No_religion,English,BLACK: of other origin,2018,46-65,61,23.363,1
2416,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Labour,For,Roman_Catholic,Other,BLACK: of other origin,2018,26-45,34,23.363,1
